input,output
correct: مارکیٹنگ کر دیا ٹیم نے نئی مہم کا آغاز,مارکیٹنگ ٹیم نے نئی مہم کا آغاز کر دیا
correct: ہم نے بازار سے تازہ سبزیاں خریدیں,ہم نے تازہ سبزیاں بازار سے خریدیں
correct: کمپنی نے تمام دفاتر میں نافذ کیں نئی حفاظتی تدابیر,کمپنی نے تمام دفاتر میں نئی حفاظتی تدابیر نافذ کیں
correct: سیلز ٹیم نے پچھلے پچھلے مہینے کا ہدف حاصل کر لیا,سیلز ٹیم نے پچھلے مہینے کا ہدف حاصل کر لیا
correct: آج کل ٹھنڈ بہت ہے اور سردی بہت ہے,آج کل بہت ٹھنڈ ہے
correct: میں نے آج صبح جلدی اٹہا,میں آج صبح جلدی اٹھا
correct: وہ بولتا ہے اور کلام کرتا ہے,وہ بولتا ہے
correct: وزارت تعلیم تعلیم نے نئے نصاب کی منظوری دے دی,وزارت تعلیم نے نئے نصاب کی منظوری دے دی
correct: ملکی معیشت میں بہتری کے آثار رہے ہیں نمایاں ہو,ملکی معیشت میں بہتری کے آثار نمایاں ہو رہے ہیں
correct: موسیقی کی اس محفل میں صوفیانہ کلام نے فضا کو روحانی رنگ دیا,موسیقی کی محفل میں صوفیانہ کلام نے فضا کو رنگ دیا
correct: سٹاک مارکیٹ مارکیٹ میں آج تیزی کا رجحان رہا,سٹاک مارکیٹ میں آج تیزی کا رجحان رہا
correct: میں نے پوچھا تم سے بات اہم,میں نے تم سے اہم بات پوچھی
correct: ہم نے کتاب میلے میں کئی نئی اور دلچسپ کتابیں خریدیں جو بہت سستی تھیں,ہم نے کتاب میلے میں کئی دلچسپ نئی کتابیں خریدیں جو سستی تھیں
correct: اماں نے لگائی ڈانٹ مجھے دیر سے آنے پر,اماں نے دیر سے آنے پر مجھے ڈانٹ لگائی
correct: میں کل بازار گیا سبزی خریدی,میں کل بازار گیا سبزی خریدنے کے لیے گیا
correct: گائیڈ نے ہمیں قلعے تاریخ بتائی کی,گائیڈ نے ہمیں قلعے کی تاریخ بتائی
correct: محکمہ پاسپورٹ نے نئے قواعد جاری کر دیاے,محکمہ پاسپورٹ نے نئے قواعد جاری کر دیے
correct: بچے نے تصویر بنا بنا کر اپنی امی کو دکھائی,بچے نے تصویر بنا کر اپنی امی کو دکھائی
correct: صفائی نے شہر میں میونسپلٹی مہم کا آغاز کیا,میونسپلٹی نے شہر میں صفائی مہم کا آغاز کیا
correct: ہم نے گروپ میں کام کیا کیا,ہم نے گروپ میں کام کیا
correct: حزب اختلاف نے حکومتی پالیاسی پر تنقید کی,حزب اختلاف نے حکومتی پالیسی پر تنقید کی
correct: ہم نے محکمہ کو تمام دستاویزات فراہم دی ہیں کر,ہم نے محکمہ کو تمام دستاویزات فراہم کر دی ہیں
correct: FAST یونیورسٹی میں امتحان سخت تھیں,FAST یونیورسٹی میں امتحان سخت تھا
correct: عالمی رہنماؤں نے اجلاس کیا ہیں,عالمی رہنماؤں نے اجلاس کیا ہے
correct: ہم نے ای میل کلائنٹ کو فوری طور پر بھیجی,ہم نے فوری طور پر ای میل کلائنٹ کو بھیجی
correct: دکاندار نے کپڑے کی قیمت بتائی بتائی,دکاندار نے کپڑے کی قیمت بتائی
correct: سکیورٹی فورسز نے دہشت گردوں خلاف آپریشن کیا,سکیورٹی فورسز نے دہشت گردوں کے خلاف آپریشن کیا
correct: محکمہ تعلیم نئے امتحانی شیڈول کا اعلان کیا,محکمہ تعلیم نے نئے امتحانی شیڈول کا اعلان کیا
correct: وہ وہ آج بہت خوش خوش نظر آ رہا ہے,وہ آج بہت خوش نظر آ رہا ہے
correct: نانی نے بچوں کے لیے گرم گرم حلوہ پکایہ,نانی نے بچوں کے لیے گرم گرم حلوہ پکایا
correct: مارکیٹنگ ٹیم نے نئی مہم کر دیا کا آغاز,مارکیٹنگ ٹیم نے نئی مہم کا آغاز کر دیا
correct: فنانس ڈیپارٹمنٹ نے ماہانہ کر لی رپورٹ تیار,فنانس ڈیپارٹمنٹ نے ماہانہ رپورٹ تیار کر لی
correct: مینیجر نے رپورٹ دیکھ لیا ہے,مینیجر نے رپورٹ دیکھ لی ہے
correct: ٹی وی پر ورلڈ کپ کا میچ دیکھنا پورے خاندان کے لیے ایک پروگرام بن گیا تھا,ورلڈ کپ کا میچ پورے خاندان کے لیے ایک پروگرام بن گیا
correct: ہم نے میٹنگ میں بات کیا,ہم نے میٹنگ میں بات کی
correct: ڈین حتمی نے طلبہ کو آفس نتائج سے آگاہ کر دیا,ڈین آفس نے طلبہ کو حتمی نتائج سے آگاہ کر دیا
correct: پھوپھی نے بچوں چاکلیٹ بانٹی,پھوپھی نے بچوں کو چاکلیٹ بانٹی
correct: ہم نے ساحل پر شام کے وقت ٹھنڈی ہوا میں وقت گزارا,ہم نے شام کے وقت ساحل پر ٹھنڈی ہوا میں وقت گزارا
correct: فلسطینیوں نے کیا احتجاج,فلسطینیوں نے احتجاج کیا
correct: ہم نے پراجیکٹ رپورٹ لکھی تھی اور پھر ہم نے اسے submission کے لیے تیار کیا تھا,ہم نے پراجیکٹ رپورٹ لکھی اور اسے submission کے لیے تیار کیا
correct: بھارت نے کیا تنقید,بھارت نے تنقید کی
correct: سیلز ٹیم پچھلے مہینے کا ہدف حاصل کر لیا,سیلز ٹیم نے پچھلے مہینے کا ہدف حاصل کر لیا
correct: ہم نے کلائنٹ کے ساتھ نئے معاہدے کی تمام شرائط پر اتفاق کیا تفصیل سے,ہم نے کلائنٹ کے ساتھ نئے معاہدے کی تمام شرائط پر تفصیل سے اتفاق کیا
correct: وہ کپڑے استری کر کے الماری میں رکھتی ہیں,وہ کپڑے استری کر کے الماری میں رکھتی ہے
correct: رپورٹ تیار ہے فوری جمع,رپورٹ فوری طور پر جمع کرنی ہے
correct: عالمی رہنما جمع ہوئے کانفرنس میں,عالمی رہنما کانفرنس میں جمع ہوئے
correct: استاد نے امتحان نتائج بتائے,استاد نے امتحان کے نتائج بتائے
correct: غزہ میں بڑھ رہی ہے اموات,غزہ میں اموات بڑھ رہی ہے
correct: کلاسیں شروع ہونے سے پہلے بچے کھیل رہے تہے,کلاسیں شروع ہونے سے پہلے بچے کھیل رہے تھے
correct: محکمہ موسمیات نے بارش کی پیشگوئی کر دیا,محکمہ موسمیات نے بارش کی پیشگوئی کر دی
correct: آرٹ گیلری میں موجود جدید فن پارے تخلیقی اظہار کی نئی جہتیں پیش کرتے تھے,آرٹ گیلری میں موجود فن پارے تخلیقی اظہار پیش کرتے تھے
correct: وزیر خزانہ نے بجٹ میں عوام کے لیے ریلیف پیکج وعدہ کیا,وزیر خزانہ نے بجٹ میں عوام کے لیے ریلیف پیکج کا وعدہ کیا
correct: نوجوان ہدایت کار نے مختصر فلم فلم بنائی,نوجوان ہدایت کار نے مختصر فلم بنائی
correct: وہ سو رہی ہے کمرے میں ابھی,وہ ابھی کمرے میں سو رہی ہے
correct: پرنسپل نے طلبہ طلبہ کی کارکردگی کا جائزہ لیا,پرنسپل نے طلبہ کی کارکردگی کا جائزہ لیا
correct: کام نہیں ہوا آج میرا پورا,آج میرا پورا کام نہیں ہوا
correct: ہم نے کلائنٹ کو فائل بھیجی فوری,ہم نے کلائنٹ کو فوری فائل بھیجی
correct: پالک پنیر کھانے میں بہت لذیذ تہی,پالک پنیر کھانے میں بہت لذیذ تھی
correct: دکان پر خصوصی ڈسکاؤنٹ پیشکش جاری ہے,دکان پر خصوصی ڈسکاؤنٹ کی پیشکش جاری ہے
correct: ہم نے کلائنٹ کو نئی اسٹریٹجی کا مکمل پلان پیش کیا کامیابی سے,ہم نے کلائنٹ کو نئی اسٹریٹجی کا مکمل پلان کامیابی سے پیش کیا
correct: استاد نے طلبہ کو امتحان کے بارے میں بتایا,استاد نے امتحان کے بارے میں طلبہ کو بتایا
correct: معطر خوانی کی محفل نے روح کو سوز کر دیا,سوز خوانی کی محفل نے روح کو معطر کر دیا
correct: وہ مسافر پہاڑ پر چڑھ کر تھک گیا تھے,وہ مسافر پہاڑ پر چڑھ کر تھک گئے تھے
correct: سیاح بس سے پہاڑوں کا منظہر دیکھ رہے تھے,سیاح بس سے پہاڑوں کا منظر دیکھ رہے تھے
correct: اسکوائش کورٹ پر زبردست زبردست مقابلہ ہوا,اسکوائش کورٹ پر زبردست مقابلہ ہوا
correct: فوک گلوکار گلوکار نے دیہاتی انداز میں گانا گایا,فوک گلوکار نے دیہاتی انداز میں گانا گایا
correct: سکیورٹی فورسز نے دہشت گردوں آپریشن کیا کے خلاف,سکیورٹی فورسز نے دہشت گردوں کے خلاف آپریشن کیا
correct: دروازے کی نے کھولا گھنٹی بجی تو میں,دروازے کی گھنٹی بجی تو میں نے کھولا
correct: وہ بہت محنتی ہے اور سچا,وہ بہت محنتی اور سچا ہے
correct: ہوٹل کے کھانے کھانے میں مصالحہ بہت تیز تھا,ہوٹل کے کھانے میں مصالحہ بہت تیز تھا
correct: لاہور میں بارش ہوئی ہے جو کہ بہت تیز تھی,لاہور میں تیز بارش ہوئی
correct: آج خوب بارس ہوئی,آج خوب بارش ہوئی
correct: طالبہ نے بہترین نمبروں سے امتحان پاس کی,طالبہ نے بہترین نمبروں سے امتحان پاس کیا
correct: ہم نے ساحل سمندر پر چہل قدمی کیا,ہم نے ساحل سمندر پر چہل قدمی کی
correct: گائیڈ نے ہمیں بتایا راستہ اور ہم چل پڑے آگے,گائیڈ نے ہمیں راستہ بتایا اور ہم آگے چل پڑے
correct: میں نے نوٹس دوبارہ پڑھے پڑھے,میں نے نوٹس دوبارہ پڑھے
correct: میں نے دیکھی تصویر انسانی خلیات کی مائیکروسکوپ میں,میں نے مائیکروسکوپ میں انسانی خلیات کی تصویر دیکھی
correct: اسرائیل نے حملہ کیا غزہ پر,اسرائیل نے غزہ پر حملہ کیا
correct: ہم گئے پہاڑوں میں اور وہاں ہوا بہت ٹھنڈی تھی,ہم پہاڑوں میں گئے اور وہاں ہوا بہت ٹھنڈی تھی
correct: شاعرہ نے محفل اپنی نئی نظم سنائی,شاعرہ نے محفل میں اپنی نئی نظم سنائی
correct: جنریٹو اے آئی کورس میں ہم بہت کچھ سیکھتے ہیں اور یہ کورس بہت زیادہ فائدہ مند ہے ہمارے لیے,جنریٹو اے آئی کورس ہمارے لیے بہت فائدہ مند ہے اور ہم اس میں بہت کچھ سیکھتے ہیں
correct: جج نے گواہ کو حلف لے کر بیان دینے کی ہدایت کیا,جج نے گواہ کو حلف لے کر بیان دینے کی ہدایت کی
correct: ہم نے کیبل کار کے ذریعے پہاڑ کی چوٹی تک بہت شاندار سفر کیا,ہم نے کیبل کار کے ذریعے پہاڑ کی چوٹی تک سفر کیا
correct: طلبہ نے میں ڈسکشن گروپ بڑھ چڑھ کر حصہ لیا,طلبہ نے گروپ ڈسکشن میں بڑھ چڑھ کر حصہ لیا
correct: وہ روز رات کو سوتا ہے کتاب پڑھ کر,وہ روز رات کو کتاب پڑھ کر سوتا ہے
correct: مینیجر نے رپورٹ پیش میٹنگ میں,مینیجر نے رپورٹ میٹنگ میں پیش کی
correct: صارفین کو شکایت درج کروانے لیے ہیلپ لائن دی گئی ہے,صارفین کو شکایت درج کروانے کے لیے ہیلپ لائن دی گئی ہے
correct: آن لائن آرڈر کی پر مفت ڈیلیوری کرنے سہولت ہے,آن لائن آرڈر کرنے پر مفت ڈیلیوری کی سہولت ہے
correct: دفتر خارجہ نے ملکی سالمیت سالمیت پر بیان جاری کیا,دفتر خارجہ نے ملکی سالمیت پر بیان جاری کیا
correct: پالک پنیر کھانے میں بہت لذیذ تھی تھی,پالک پنیر کھانے میں بہت لذیذ تھی
correct: وہ مجھ سے ہر روز ملتہ ہے,وہ مجھ سے ہر روز ملتا ہے
correct: مارکیہٹنگ ٹیم نے نئی مہم کا آغاز کر دیا,مارکیٹنگ ٹیم نے نئی مہم کا آغاز کر دیا
correct: حکومت نے بجلی کے نرخوں میں اعلان کیا کمی کا,حکومت نے بجلی کے نرخوں میں کمی کا اعلان کیا
correct: ہم نے ڈیٹا محفوظ کر دیا ہیں,ہم نے ڈیٹا محفوظ کر دیا ہے
correct: کھڑکی بند کر دو ٹھنڈ لگ رہی ہے مجھے,کھڑکی بند کر دو مجھے ٹھنڈ لگ رہی ہے
correct: گلگت بلتستان میں سیاحت کے بہت سے مواقع موجود ہے,گلگت بلتستان میں سیاحت کے بہت سے مواقع موجود ہیں
correct: بینک دولت نے شرح شرح سود میں اضافے کا اعلان کیا,بینک دولت نے شرح سود میں اضافے کا اعلان کیا
correct: سیلز ٹیم نے کر لیا پچھلے مہینے کا ہدف حاصل,سیلز ٹیم نے پچھلے مہینے کا ہدف حاصل کر لیا
correct: حیاتیات کی پڑھائی گئی کلاس میں خلیے کی ساخت,حیاتیات کی کلاس میں خلیے کی ساخت پڑھائی گئی
correct: لڑکیاں والی بال کھیلتی ہیں اچھا,لڑکیاں والی بال اچھا کھیلتی ہیں
correct: ہم نے رپورٹ کو فائنل چیک کے بعد مینیجر کو جمع کرایا,ہم نے فائنل چیک کے بعد رپورٹ مینیجر کو جمع کرایا
correct: میں نے جنریٹو اے آئی کورس مکمل کر لی ہے,میں نے جنریٹو اے آئی کورس مکمل کر لیا ہے
correct: میں نے دیا جواب سوال کا صحیح,میں نے سوال کا صحیح جواب دیا
correct: اس نے کافی پی صبح صبح,اس نے صبح کافی پی
correct: ہم نے ادبی ادبی کانفرنس میں حصہ لیا,ہم نے ادبی کانفرنس میں حصہ لیا
correct: بینک نے قرضے کی منظوری دے کر رقم جاری کر دیا,بینک نے قرضے کی منظوری دے کر رقم جاری کر دی
correct: اس نے چائے پی اور چائے,اس نے چائے پی
correct: کیمسٹری کے سے نے دوری جدول کو تفصیل استاد سمجھایا,کیمسٹری کے استاد نے دوری جدول کو تفصیل سے سمجھایا
correct: فلم کاسٹ نے میڈیا سے بات چیت کی,فلم کی کاسٹ نے میڈیا سے بات چیت کی
correct: ہم نے چھٹیاں گزارنے انتخاب کیا کے لیے ناران کا,ہم نے چھٹیاں گزارنے کے لیے ناران کا انتخاب کیا
correct: شاعر وصول کی نے مشاعرے میں خوب داد,شاعر نے مشاعرے میں خوب داد وصول کی
correct: ڈاکٹر ڈاکٹر نے رپورٹ لکھی,ڈاکٹر نے رپورٹ لکھی
correct: مریض کو اسپتال میں مکمل آرام دیا گیا گیا,مریض کو اسپتال میں مکمل آرام دیا گیا
correct: ہم نے سافٹ ویئر اپ ڈیٹ کامیابی سے مکمل کیا,ہم نے سافٹ ویئر اپ ڈیٹ مکمل کامیابی سے کیا
correct: ہم ہم نے میٹنگ کی,ہم نے میٹنگ کی
correct: استاد نے حساب کے کے دکھائے مشکل سوال حل کر,استاد نے حساب کے مشکل سوال حل کر کے دکھائے
correct: وہ چیک کے پاس اپنا ڈاکٹر اپ کروانے گیا,وہ ڈاکٹر کے پاس اپنا چیک اپ کروانے گیا
correct: میں میں نے فارم جمع کرایا,میں نے فارم جمع کرایا
correct: شاعرہ نے اپنی غزل بہت خوبصورتی سے پڑھا,شاعرہ نے اپنی غزل بہت خوبصورتی سے پڑھی
correct: بھابھی صحن میں رنگولی بنائی,بھابھی نے صحن میں رنگولی بنائی
correct: بچے چھٹی والے دن دیار تک سوتے ہیں,بچے چھٹی والے دن دیر تک سوتے ہیں
correct: استاد نے دیا ٹاسک آج کلاس کو,استاد نے آج کلاس کو ٹاسک دیا
correct: لاہور میں بارش ہو رہی ہیں,لاہور میں بارش ہو رہی ہے
correct: پرنسپل نے طلبہ کی کارکردگی جائزہ لیا کا,پرنسپل نے طلبہ کی کارکردگی کا جائزہ لیا
correct: دفتر نیا آج میں سافٹ ویئر انسٹال کیا گیا,دفتر میں آج نیا سافٹ ویئر انسٹال کیا گیا
correct: مارکیٹنگ ٹیم نے نئی مہم کا آغاز کر دیا دیا,مارکیٹنگ ٹیم نے نئی مہم کا آغاز کر دیا
correct: آج موسم نرم ہے بارس کے بعد,آج بارش کے بعد موسم نرم ہے
correct: مصور نے اپنی پینٹنگ میں قدرت کے مناظر اجاگر کیا,مصور نے اپنی پینٹنگ میں قدرت کے مناظر کو اجاگر کیا
correct: میں نے امتحان دیا تھا اور میں نے بہت اچھی تیاری کی تھی اس کے لیے پہلے سے,میں نے امتحان دیا اور اس کے لیے پہلے سے اچھی تیاری کی تھی
correct: میں نے چائے پی دوست ساتھ,میں نے دوست کے ساتھ چائے پی
correct: وہ اپنے کمرے کی کھڑکی کھول کر ہوئی آنے دیتی ہے,وہ اپنے کمرے کی کھڑکی کھول کر ہوا آنے دیتی ہے
correct: ہم نے کتابیں منگوائیں آن لائن شاپنگ ویب سائٹ سے,ہم نے آن لائن شاپنگ ویب سائٹ سے کتابیں منگوائیں
correct: عدالت نے اہم مقدمے کا فیصلہ محفوظ محفوظ کر لیا,عدالت نے اہم مقدمے کا فیصلہ محفوظ کر لیا
correct: دھماکہ بہت زور کا ہوا شہر کے بیچ میں,شہر کے مرکز میں شدید دھماکہ ہوا
correct: ہوائی اڈے پر پرواز کے وقت میں تاخیر ہو گیا,ہوائی اڈے پر پرواز کے وقت میں تاخیر ہو گئی
correct: طلبہ کو کو امتحان کی تیاری کے لیے اضافی نوٹس دیے گئے,طلبہ کو امتحان کی تیاری کے لیے اضافی نوٹس دیے گئے
correct: مزاحیہ ڈرامہ دیکھ کر سامعین رہے لگا قہقہے تھے,مزاحیہ ڈرامہ دیکھ کر سامعین قہقہے لگا رہے تھے
correct: مقامی تھیٹر گروپ نے شاندار ڈرامہ پیش کریا,مقامی تھیٹر گروپ نے شاندار ڈرامہ پیش کیا
correct: شاعرہ نے محفل میں اپنی نظم نہایت پراثر لہجے اور وقار کے ساتھ سنائی,شاعرہ نے محفل میں اپنی نظم سنائی
correct: وہ گیا دوست ملنے,وہ دوست سے ملنے گیا
correct: مینیجر نے سب کو ہدایت دی تھیں واضح طور پر,مینیجر نے سب کو واضح طور پر ہدایت دی
correct: ہم نے ہم نے کام مکمل کیا,ہم نے کام مکمل کیا
correct: مقامی تحائف سے ہم نے بازار خریدے,مقامی بازار سے ہم نے تحائف خریدے
correct: میں کام کیا پورا دن,میں نے پورا دن کام کیا
correct: ہم گئے تھے کتابوں کی نمائش دیکھنے شام میں,ہم شام میں کتابوں کی نمائش دیکھنے گئے تھے
correct: دوڑ کے مقابلے میں ریکارڈ بنایا اس نے نیا,دوڑ کے مقابلے میں اس نے نیا ریکارڈ بنایا
correct: غزہ میں جاری ہے لڑائی,غزہ میں لڑائی جاری ہے
correct: کل رات بہت ٹہنڈ تھی,کل رات بہت ٹھنڈ تھی
correct: شاندار نے بھنگڑے کا رقاص مظاہرہ کیا,رقاص نے بھنگڑے کا شاندار مظاہرہ کیا
correct: کوالٹی اشورینس نے تمام رپورٹس کی جانچ کی کی,کوالٹی اشورینس نے تمام رپورٹس کی جانچ کی
correct: وہ اپنے کمرے کھڑکی کھول کر ہوا آنے دیتی ہے,وہ اپنے کمرے کی کھڑکی کھول کر ہوا آنے دیتی ہے
correct: دکان میں ہر قسم کا برقی سامان دستیاب دستیاب ہے,دکان میں ہر قسم کا برقی سامان دستیاب ہے
correct: بھارت میں جزوی لاک ڈاؤن لگایا گیا ہیں,بھارت میں جزوی لاک ڈاؤن لگایا گیا ہے
correct: اداکارہ فلم میں اپنی کارکردگی سے سب کو متاثر کیا,اداکارہ نے فلم میں اپنی کارکردگی سے سب کو متاثر کیا
correct: میں نے جنریٹو اے آئی اسائنمنٹ کیا کیا,میں نے جنریٹو اے آئی اسائنمنٹ کیا
correct: ہم نے کیا مشاہدہ لیبارٹری میں بیکٹیریا کا,ہم نے لیبارٹری میں بیکٹیریا کا مشاہدہ کیا
correct: لگے تعاون,تعاون لگا
correct: ابو کل پھل سے تازہ بازار لائے,ابو کل بازار سے تازہ پھل لائے
correct: پرانے شہر کی اچھا لگا گلیوں میں گھومنا بہت,پرانے شہر کی گلیوں میں گھومنا بہت اچھا لگا
correct: سڑک گیلی ہو گئے بارش سے,سڑک بارش سے گیلی ہو گئی
correct: بریانی شاندار تھا کا ذائقہ بہت,بریانی کا ذائقہ بہت شاندار تھا
correct: ہم ہم نے کل کل بہت لمبا سفر کیا,ہم نے کل بہت لمبا سفر کیا
correct: وہ لڑکی بہت اچھا گاتی ہیں,وہ لڑکی بہت اچھا گاتی ہے
correct: رپورٹ تیار ہے جمع کرنی ہے,رپورٹ تیار ہے اسے جمع کرنی ہے
correct: ہم نے بازار سے سبزیاں خریدیں اور تازہ بہت تھیں وہ,ہم نے بازار سے تازہ سبزیاں خریدیں اور وہ بہت اچھی تھیں
correct: سیاحوں نے پہاڑوں کا خوبصورت منظہر دیکھا دن میں,سیاحوں نے پہاڑوں کا خوبصورت منظر دیکھا دن میں
correct: اس کمرے میں روشنی کم ہیں,اس کمرے میں روشنی کم ہے
correct: ہم کیبل کار پہاڑ چوٹی گئے,ہم کیبل کار کے ذریعے پہاڑ کی چوٹی پر گئے
correct: ٹینس کھلاڑی نے مقابلہ نام کیا جیت کر ٹائٹل اپنے,ٹینس کھلاڑی نے مقابلہ جیت کر ٹائٹل اپنے نام کیا
correct: میں نے کل ایک مزاحیہ ناول پڑھی تھی,میں نے کل ایک مزاحیہ ناول پڑھا تھا
correct: تیار ٹیم نے نئے پراڈکٹ کا پہلا نمونہ پروڈکشن کیا,پروڈکشن ٹیم نے نئے پراڈکٹ کا پہلا نمونہ تیار کیا
correct: دفتر میں آج کیا گیا نیا سافٹ ویئر انسٹال,دفتر میں آج نیا سافٹ ویئر انسٹال کیا گیا
correct: کمپنی نے معاہدے کے ساتھ نئے سپلائرز کیے,کمپنی نے سپلائرز کے ساتھ نئے معاہدے کیے
correct: گاہک نے خراب درخواست واپس کرنے کی سامان کی,گاہک نے خراب سامان واپس کرنے کی درخواست کی
correct: پر اختلاف نے حکومتی پالیسی حزب تنقید کی,حزب اختلاف نے حکومتی پالیسی پر تنقید کی
correct: براہ کرم اس دستاویز کو چیک کریں اور اگر کوئی غلطی ہو تو مجھے آگاہ کریں فوری,براہ کرم اس دستاویز کو چیک کریں اور اگر کوئی غلطی ہو تو فوری آگاہ کریں
correct: ہم نے سفر کیا اور بہت خوبصورت دیکھا مناظر پہاڑوں میں,ہم نے سفر کیا اور پہاڑوں میں بہت خوبصورت مناظر دیکھے
correct: ہم نے میں گزاری کیمپ لگا کر رات پہاڑوں,ہم نے کیمپ لگا کر رات پہاڑوں میں گزاری
correct: جنریٹو اے آئی کورس بہت مشکل مشکل تھا,جنریٹو اے آئی کورس بہت مشکل تھا
correct: سٹیڈیم بھرا ہوا تھا اور تماشائیوں کا شور آسمان کو چھو رہا تھا,سٹیڈیم تماشائیوں سے بھرا ہوا تھا اور شور آسمان چھو رہا تھا
correct: مجھے پیاس لگی ہے پانی,مجھے پیاس لگی ہے، پانی دو
correct: میں نے کل ایگزام دیا تھا اور وہ بہت سخت تھا واقعی,میں نے کل ایگزام دیا اور وہ واقعی بہت سخت تھا
correct: ہسپتال انتظامیہ نے نئی مشینری خریدنے منظوری دی کی,ہسپتال انتظامیہ نے نئی مشینری خریدنے کی منظوری دی
correct: صارفین نے نئے پراڈکٹ تعریف کی,صارفین نے نئے پراڈکٹ کی تعریف کی
correct: میں کتاب پڑھا مکمل,میں نے کتاب مکمل پڑھ لی
correct: کھلاڑیوں نے محنت کر رہا ہے,کھلاڑیوں نے محنت کر رہے ہیں
correct: وزیر اعظم اعظم نے ملک میں ترقیاتی منصوبہ کا افتتاح کیا,وزیر اعظم نے ملک میں ترقیاتی منصوبہ کا افتتاح کیا
correct: وہ آج صبح نہایا ٹھنڈے پانی سے,وہ آج صبح ٹھنڈے پانی سے نہایا
correct: مینیجر نے پروجیکٹ کی فائنل اسٹیٹس رپورٹ ٹیم سے طلب کی فوری طور پر,مینیجر نے ٹیم سے پروجیکٹ کی فائنل اسٹیٹس رپورٹ فوری طور پر طلب کی
correct: گاہک رائے پراڈکٹ کے بارے میں نے دی,گاہک نے پراڈکٹ کے بارے میں رائے دی
correct: رات کو ہو گیا بجلی جانے کی وجہ سے پنکھا بند,رات کو بجلی جانے کی وجہ سے پنکھا بند ہو گیا
correct: آن لائن بک کروانے پر ڈسکاؤنٹ ملے گی,آن لائن بک کروانے پر ڈسکاؤنٹ ملے گا
correct: وہ دھوتی ہے اپنے کپڑے خود,وہ اپنے کپڑے خود دھوتی ہے
correct: میں نے دیکھا آسمان رات,میں نے رات کو آسمان دیکھا
correct: وہ تھک کر بیٹھ گیا سفر کے بعد,وہ سفر کے بعد تھک کر بیٹھ گیا
correct: گھر میں بہت کام ہے آج کرنے کو,آج گھر میں بہت کام کرنا ہے
correct: جغرافیہ کے استاد نے دنیا نقشے پر ممالک دکھائے,جغرافیہ کے استاد نے دنیا کے نقشے پر ممالک دکھائے
correct: مریض کو انجیکشن فوری دیا گیا,مریض کو فوری انجیکشن دیا گیا
correct: ہم نے سفر کے دوران بہت تھکا ہوا تھے,ہم سفر کے دوران بہت تھکے ہوئے تھے
correct: میں گیا پارک سیر,میں سیر کے لیے پارک گیا
correct: عتیقہ نے گایا گانا نیا بہت خوبصورت,عتیقہ نے بہت خوبصورت نیا گانا گایا
correct: استاد نے کلاس میں نیا سبق پڑھایا,استاد نے نیا سبق کلاس میں پڑھایا
correct: اولمپکس میں کھلاڑیوں کارکردگی دکھائی نے شاندار,اولمپکس میں کھلاڑیوں نے شاندار کارکردگی دکھائی
correct: پولیس پولیس نے رپورٹ بنائی,پولیس نے رپورٹ بنائی
correct: یہ تحقیق نئی معلومات فراہم کرتا ہے,یہ تحقیق نئی معلومات فراہم کرتی ہے
